0.0254523,3.53534e+08,6.49588e+07,8.67294e+06
0.0747814,3.59447e+08,6.63646e+07,1.95501e+07
0.124705,3.62356e+08,6.77521e+07,2.89991e+07
0.174873,3.72374e+08,6.9579e+07,3.82085e+07
0.224884,3.75951e+08,7.11113e+07,4.62282e+07
0.274617,3.81056e+08,7.26017e+07,5.32022e+07
0.324963,3.91009e+08,7.49268e+07,6.20415e+07
0.375541,3.92818e+08,7.61874e+07,6.7685e+07
0.424916,3.98684e+08,7.78015e+07,7.53964e+07
0.474715,4.06779e+08,8.01353e+07,8.43748e+07
0.524961,4.10733e+08,8.16898e+07,9.04359e+07
0.574987,4.16941e+08,8.31854e+07,9.59586e+07
0.624806,4.23681e+08,8.56384e+07,1.04473e+08
0.674756,4.31011e+08,8.79886e+07,1.12974e+08
0.724526,4.36366e+08,8.99335e+07,1.19395e+08
0.775249,4.40839e+08,9.13686e+07,1.24839e+08
0.825112,4.4615e+08,9.32004e+07,1.30585e+08
0.874919,4.53744e+08,9.51581e+07,1.38862e+08
0.925118,4.53988e+08,9.54818e+07,1.41409e+08
0.973841,4.61674e+08,9.80686e+07,1.49896e+08
